cell_name,cell_idx,drug_name,IC50,test_pred
DiFi,0,BIBR-1532,5.272195,5.063299656
DiFi,0,Bicalutamide,5.273,4.558368206
DiFi,0,Bleomycin,3.485075,2.783792734
DiFi,0,BMS-345541,3.150311,3.335550547
DiFi,0,BMS-536924,2.773691,2.119875669
DiFi,0,BMS-754807,0.996327,1.732910991
DiFi,0,Bortezomib,-5.694938,-4.704054832
DiFi,0,Bosutinib,3.258134,1.849762678
DiFi,0,BPTES,5.038013,3.961839437
DiFi,0,Bromosporine,2.397916,2.69619441
DiFi,0,Buparlisib,0.509077,0.667615891
DiFi,0,BX795,2.364116,3.065029621
DiFi,0,Camptothecin,-2.054677,-1.604081511
DiFi,0,Capivasertib,1.771389,2.1975348
DiFi,0,CCT-018159,4.24169,3.568869591
DiFi,0,CCT007093,5.020428,5.095183849
DiFi,0,CCT245232,-2.527907,-2.405848742
DiFi,0,Cediranib,2.323199,2.229810953
DiFi,0,CHIR-99021,3.641022,4.411932945
DiFi,0,CI-1040,1.614435,1.632277369
DiFi,0,Cisplatin,3.73497,3.612619638
DiFi,0,CPI-637,4.391228,4.557040691
DiFi,0,Crizotinib,3.614115,2.407080412
DiFi,0,CRT0105950,4.63538,3.418985605
DiFi,0,Cyclophosphamide,5.779258,5.410373211
DiFi,0,Cytarabine,1.654894,2.146317244
DiFi,0,CZC24832,6.00705,5.466787815
DiFi,0,Dabrafenib,6.136072,4.459377766
DiFi,0,Dacarbazine,5.214819,5.387843609
DiFi,0,Dactinomycin,-5.625683,-4.633505344
DiFi,0,Dactolisib,-2.194746,-1.731427789
DiFi,0,Dasatinib,3.578856,1.533656597
DiFi,0,Dihydrorotenone,-0.119192,0.163966417
DiFi,0,Dinaciclib,-3.870718,-3.147186995
DiFi,0,Docetaxel,-3.600145,-3.50138545
DiFi,0,Doramapimod,5.160592,4.754183292
DiFi,0,Doxorubicin,0.655374,-0.47888881
DiFi,0,EHT-1864,3.839865,3.871588707
DiFi,0,Elephantin,2.566458,4.095655918
DiFi,0,Elesclomol,-0.307795,-1.760556817
DiFi,0,Entinostat,1.49408,1.871709943
DiFi,0,Entospletinib,3.310975,3.987808943
DiFi,0,Epirubicin,0.861345,-0.47888881
DiFi,0,EPZ004777,5.746165,5.112550735
DiFi,0,EPZ5676,5.466047,5.612312794
DiFi,0,Erlotinib,-1.279746,-1.173361421
DiFi,0,Fludarabine,6.312463,5.155866623
DiFi,0,Foretinib,0.66781,1.211932778
DiFi,0,Fulvestrant,4.901457,4.014474392
DiFi,0,Gallibiscoquinazole,2.854639,2.727155447
DiFi,0,GDC0810,5.654743,5.323677063
DiFi,0,Gefitinib,-1.88196,-0.944077313
DiFi,0,Gemcitabine,-0.914846,0.315120995
DiFi,0,glutathione,9.265865,9.457623482
DiFi,0,GNE-317,-0.218039,-0.25067547
DiFi,0,GSK-J4,3.464265,4.11847353
DiFi,0,GSK-LSD1,2.846515,3.010099173
DiFi,0,GSK1904529A,3.654516,4.372077942
DiFi,0,GSK2110183B,0.966527,1.527940154
DiFi,0,GSK2578215A,5.75325,4.962333202
DiFi,0,GSK2606414,2.374482,3.83773756
DiFi,0,GSK269962A,1.367591,3.261289835
DiFi,0,GSK2801,4.681429,5.13171339
DiFi,0,GSK2830371,5.757955,5.459234238
DiFi,0,GSK343,5.389758,4.09329319
DiFi,0,GSK591,3.416921,4.32038641
DiFi,0,GW441756,3.668845,3.706243038
DiFi,0,HG-5-113-01,1.689579,2.009642363
DiFi,0,HG-5-88-01,3.091919,3.680403948
DiFi,0,I-BET-151,1.772367,2.188264132
DiFi,0,I-BET-762,2.715151,3.810796976
DiFi,0,I-BRD9,5.008286,4.806865692
DiFi,0,I-CBP112,4.681069,4.92173481
DiFi,0,Ibrutinib,-0.586143,-0.541302443
DiFi,0,ICL-SIRT078,3.342585,4.138572693
DiFi,0,IOX2,0.147018,0.384910792
DiFi,0,Ipatasertib,2.064733,2.12663722
DiFi,0,Irinotecan,2.733562,2.565716267
DiFi,0,IWP-2,3.354093,3.159049273
DiFi,0,JNK Inhibitor VIII,5.692197,5.059771061
DiFi,0,JQ1,1.391057,2.455839396
DiFi,0,KU-55933,5.629988,5.362365246
DiFi,0,KU-60019,4.186049,3.730587959
DiFi,0,L-Oxonoreleagnine,3.897467,4.09051466
DiFi,0,Lapatinib,-0.865193,-1.347761154
DiFi,0,LCL161,5.768806,4.639976025
DiFi,0,Leflunomide,4.962524,5.345373631
DiFi,0,Lenalidomide,5.598717,5.340436459
DiFi,0,Lestaurtinib,-0.59633,0.601495147
DiFi,0,LGK974,4.775157,4.467689514
DiFi,0,Linsitinib,3.130404,3.604618788
DiFi,0,LJI308,4.931478,5.007563114
DiFi,0,LMP744,0.1907,-0.097789042
DiFi,0,Luminespib,1.781391,-1.265436053
DiFi,0,LY2109761,4.822099,5.09727335
DiFi,0,Methotrexate,1.160724,1.02486217
DiFi,0,MG-132,-1.644438,-1.040362835
DiFi,0,MIM1,5.386961,4.352705002
DiFi,0,MIRA-1,4.713328,5.384949207
DiFi,0,Mitoxantrone,1.838309,1.257959008
DiFi,0,MK-1775,0.332675,0.474373966
DiFi,0,MK-2206,1.210703,1.799619079
DiFi,0,MK-8776,2.603893,3.253539324
DiFi,0,ML323,3.945152,4.558319569
DiFi,0,MN-64,4.558002,4.59752655
DiFi,0,Motesanib,5.782543,5.65184164
DiFi,0,Mycophenolic acid,2.43817,2.075687647
DiFi,0,N-acetyl cysteine,10.038769,10.01507282
DiFi,0,Navitoclax,-0.120551,1.47962749
DiFi,0,Nelarabine,6.577419,6.219176769
DiFi,0,Nilotinib,4.198658,3.171528816
DiFi,0,Niraparib,5.390476,4.673301697
DiFi,0,NU7441,3.044855,3.139132977
DiFi,0,NVP-ADW742,2.395379,2.756629705
DiFi,0,Obatoclax Mesylate,-0.085405,1.406353951
DiFi,0,OF-1,3.609751,4.273073196
DiFi,0,Olaparib,5.345444,4.585909367
DiFi,0,OSI-027,4.186485,2.851031065
DiFi,0,Osimertinib,-2.064261,-2.680946112
DiFi,0,OTX015,2.37195,2.759607792
DiFi,0,Oxaliplatin,4.75924,4.680802822
DiFi,0,P22077,4.14909,4.415426731
DiFi,0,Paclitaxel,-3.93657,-3.216536283
DiFi,0,Palbociclib,2.99324,4.235471725
DiFi,0,PCI-34051,5.435889,4.697784901
DiFi,0,PD0325901,0.003694,-0.640461385
DiFi,0,PD173074,4.961649,3.996332884
DiFi,0,Pevonedistat,0.327211,0.779073119
DiFi,0,PF-4708671,4.649077,3.953600645
DiFi,0,PFI-1,4.414421,4.494484425
DiFi,0,PFI-3,4.391465,5.376036167
DiFi,0,PFI3,5.606364,5.376036167
DiFi,0,Pictilisib,-0.219852,0.095438547
DiFi,0,Piperlongumine,2.652649,2.343624115
DiFi,0,PLX-4720,4.363407,4.650212765
DiFi,0,Podophyllotoxin bromide,-1.063683,-0.586951077
DiFi,0,POMHEX,1.270092,1.36010766
DiFi,0,PRIMA-1MET,5.27491,4.81240797
DiFi,0,PRT062607,4.478182,3.749338865
DiFi,0,Pyridostatin,4.704485,3.887424946
DiFi,0,Rapamycin,-1.705052,-1.946772933
DiFi,0,Refametinib,-0.417893,0.138457298
DiFi,0,Remodelin,5.325345,5.004249096
DiFi,0,Ribociclib,4.363725,3.962816238
DiFi,0,RO-3306,1.753797,2.918767214
DiFi,0,Romidepsin,-6.248925,-5.406635761
DiFi,0,Rucaparib,3.764692,4.264585972
DiFi,0,Ruxolitinib,5.130226,5.168297291
DiFi,0,RVX-208,4.798344,5.157579899
DiFi,0,Sabutoclax,0.396043,0.176391125
DiFi,0,Sapitinib,-4.116191,-2.820410967
DiFi,0,Savolitinib,2.567351,3.28239131
DiFi,0,SB216763,3.90669,5.563109875
DiFi,0,SB505124,1.318488,3.870382547
DiFi,0,SB590885,4.064497,4.61384058
DiFi,0,SCH772984,0.381173,0.709444046
DiFi,0,Schweinfurthin A,2.372753,3.430097103
DiFi,0,Selumetinib,1.669742,2.423244715
DiFi,0,Sepantronium bromide,-1.199641,-2.824293852
DiFi,0,Serdemetan,5.164183,3.974882603
DiFi,0,SGC-CBP30,3.703613,4.497863293
DiFi,0,SGC0946,1.537148,2.14706707
DiFi,0,Sinularin,3.001927,3.858103991
DiFi,0,SL0101,4.920476,4.721063137
DiFi,0,SN-38,-3.201637,-2.517663717
DiFi,0,Sorafenib,2.760887,2.46336031
DiFi,0,Staurosporine,-3.275624,-2.740213394
DiFi,0,Talazoparib,3.774041,3.35043025
DiFi,0,Tamoxifen,3.576835,4.106987476
DiFi,0,Tanespimycin,-1.629667,-1.565978289
DiFi,0,Taselisib,-0.53224,-0.879075468
DiFi,0,Telomerase Inhibitor IX,2.64734,1.2630862
DiFi,0,Temozolomide,6.801502,6.904211521
DiFi,0,Temsirolimus,1.711317,1.057045102
DiFi,0,Teniposide,1.896674,1.032063484
DiFi,0,Topotecan,0.494675,0.241799712
DiFi,0,Trametinib,-2.467148,-2.361883402
DiFi,0,Tretinoin,4.698371,4.488862514
DiFi,0,TW 37,1.58753,0.890257895
DiFi,0,Ulixertinib,2.03543,1.430552721
DiFi,0,UMI-77,5.245894,2.985194206
DiFi,0,UNC0379,5.02798,3.845957994
DiFi,0,UNC0638,4.149648,4.533170223
DiFi,0,UNC0642,1.573039,1.647144079
DiFi,0,UNC1215,2.847402,2.843403578
DiFi,0,Uprosertib,1.240893,1.359595656
DiFi,0,VE-822,4.198507,3.168997526
DiFi,0,VE821,3.984128,3.862456083
DiFi,0,Veliparib,5.211309,5.441998005
DiFi,0,Venetoclax,3.088204,2.77016592
DiFi,0,Vinblastine,-4.375998,-3.97149682
DiFi,0,Vinorelbine,-3.746546,-3.775407553
DiFi,0,Vismodegib,5.773233,5.093263149
DiFi,0,Vorinostat,0.596975,1.545145154
DiFi,0,VX-11e,1.038373,1.486346841
DiFi,0,VX-702,3.470453,3.251674414
DiFi,0,Wee1 Inhibitor,2.0613,1.768382311
DiFi,0,WEHI-539,3.159006,3.752658129
DiFi,0,WIKI4,3.442604,3.309499502
DiFi,0,Wnt-C59,3.867371,4.284328938
DiFi,0,WZ4003,4.094743,4.54835844
DiFi,0,XAV939,3.78872,4.116464615
DiFi,0,XMD11-85h,5.271883,4.417563915
DiFi,0,XMD8-92,3.047388,3.722794056
DiFi,0,YK-4-279,1.596289,1.658869505
DiFi,0,ZG-10,1.897587,2.09208107
DiFi,0,ZM447439,1.46424,2.540023565
DiFi,0,Zoledronate,4.124957,4.064573765
HCE-4,1,(5Z)-7-Oxozeaenol,0.099979,0.792385638
HCE-4,1,5-Fluorouracil,3.407743,3.352120161
HCE-4,1,A-443654,-2.308284,-2.347687721
HCE-4,1,A-770041,0.19925,0.65980196
HCE-4,1,A-83-01,3.975107,3.800782442
HCE-4,1,ABT737,3.678314,3.328148127
HCE-4,1,ACY-1215,1.888197,2.602634668
HCE-4,1,Afatinib,2.873405,2.346992731
HCE-4,1,Afuresertib,2.434674,2.825206995
HCE-4,1,AGI-5198,4.260344,3.938814163
HCE-4,1,AGI-6780,3.56038,3.436225653
HCE-4,1,AGK2,3.802495,3.116977692
HCE-4,1,AICA Ribonucleotide,7.027771,7.429374695
HCE-4,1,AKT inhibitor VIII,3.156042,3.714318752
HCE-4,1,Alectinib,4.036306,4.361705303
HCE-4,1,Alisertib,2.217185,1.17256701
HCE-4,1,Alpelisib,3.413277,3.451019526
HCE-4,1,AMG-319,5.103886,3.910109758
HCE-4,1,Amuvatinib,4.448421,3.748836517
HCE-4,1,Apitolisib,0.910699,1.136508346
HCE-4,1,AR-42,2.69331,2.479632854
HCE-4,1,Ara-G,4.791143,4.722754002
HCE-4,1,ARRY-520,-4.250456,-2.499683619
HCE-4,1,AS601245,1.686853,1.130024195
HCE-4,1,AS605240,4.249305,4.684090137
HCE-4,1,AST-1306,1.768467,1.606991649
HCE-4,1,AT-7519,2.506214,3.596544981
HCE-4,1,AT13148,2.410365,2.605234861
HCE-4,1,AT7867,2.540393,2.641421318
HCE-4,1,Avagacestat,5.166895,4.278202534
HCE-4,1,Axitinib,2.133853,2.798475742
HCE-4,1,AZ20,0.803675,0.092489071
HCE-4,1,AZ6102,3.302302,2.866317034
HCE-4,1,AZ960,1.66565,1.152320981
HCE-4,1,AZD1208,2.872999,4.315125942
HCE-4,1,AZD1332,1.456917,2.200427771
HCE-4,1,AZD1480,0.934113,1.266081691
HCE-4,1,AZD2014,-1.298156,1.117373586
HCE-4,1,AZD3514,3.495075,3.325553894
HCE-4,1,AZD3759,2.668203,2.79327035
HCE-4,1,AZD4547,2.77002,2.760659933
HCE-4,1,AZD4877,-4.744413,-4.595813274
HCE-4,1,AZD5363,3.313823,2.582159281
HCE-4,1,AZD5438,-1.990479,1.542483211
HCE-4,1,AZD5582,-3.306161,1.368413806
HCE-4,1,AZD6094,3.016999,2.616433859
HCE-4,1,AZD6482,3.124341,2.29080677
HCE-4,1,AZD6738,1.883968,1.304283023
HCE-4,1,AZD7762,0.646903,-0.175384045
HCE-4,1,AZD8055,0.181212,-0.132020384
HCE-4,1,AZD8186,3.83425,3.137331724
HCE-4,1,AZD8835,2.069782,2.600705147
HCE-4,1,AZD8931,1.473841,2.925441027
HCE-4,1,BAM7,5.122216,3.920439959
HCE-4,1,BAY-61-3606,1.392688,2.026188135
HCE-4,1,Belinostat,3.942212,3.404339075
HCE-4,1,Bexarotene,3.318913,2.505805731
HCE-4,1,BI-2536,-1.745712,-1.985800624
HCE-4,1,BIBF-1120,2.266483,2.77485013
HCE-4,1,BIBR-1532,5.181507,4.217020512
HCE-4,1,Bicalutamide,4.917563,3.761497974
HCE-4,1,BIX02189,5.281607,4.938773632
HCE-4,1,Bleomycin,-0.30167,1.060406804
HCE-4,1,BMS-345541,4.493557,3.20347476
HCE-4,1,BMS-509744,2.79739,2.299364328
HCE-4,1,BMS-536924,1.648464,2.162905455
HCE-4,1,BMS-754807,2.122006,1.79086113
HCE-4,1,Bortezomib,-5.402489,-4.502887249
HCE-4,1,Bosutinib,2.48813,2.870426893
HCE-4,1,BPTES,1.502642,3.27956152
HCE-4,1,Buparlisib,1.405419,1.582684398
HCE-4,1,BX-912,3.315105,3.800370455
HCE-4,1,BX795,2.372236,1.495993495
HCE-4,1,C-75,5.129421,3.879045963
HCE-4,1,Cabozantinib,3.92716,3.733638048
HCE-4,1,Camptothecin,-3.53614,-2.36796093
HCE-4,1,Capivasertib,3.589208,2.582159281
HCE-4,1,CAY10566,2.503571,2.918510675
HCE-4,1,CAY10603,4.802029,4.119680882
HCE-4,1,CCT-018159,3.315013,2.735216856
HCE-4,1,CCT007093,5.158096,4.363162041
HCE-4,1,CCT245232,-1.854083,-2.659492254
HCE-4,1,CD532,-0.047981,0.149164125
HCE-4,1,Cediranib,4.152377,2.284276485
HCE-4,1,CGP-082996,1.31941,2.615352154
HCE-4,1,CGP-60474,-3.070403,-3.354696989
HCE-4,1,CHIR-99021,4.936755,3.310851574
HCE-4,1,CI-1033,1.683334,2.457440615
HCE-4,1,CI-1040,2.696473,2.669063568
HCE-4,1,Cisplatin,0.273505,1.843934536
HCE-4,1,CMK,1.311845,1.66395545
HCE-4,1,CP466722,3.023932,3.623681068
HCE-4,1,CP724714,4.274661,4.597368717
HCE-4,1,CPI-613,7.835884,4.512887955
HCE-4,1,Crizotinib,2.29303,2.327216387
HCE-4,1,CRT0105950,2.666104,2.265685558
HCE-4,1,CUDC-101,2.85073,2.475655317
HCE-4,1,CX-5461,4.620229,3.975023508
HCE-4,1,Cyclophosphamide,4.105851,4.335999012
HCE-4,1,Cytarabine,-1.225275,1.10037601
HCE-4,1,CZC24832,4.298443,4.225112915
HCE-4,1,Dabrafenib,3.969098,3.595907927
HCE-4,1,Dacinostat,-2.630159,-2.481565237
HCE-4,1,Dactinomycin,-5.298501,-4.713595867
HCE-4,1,Dactolisib,-1.403144,-2.270125866
HCE-4,1,Daporinad,2.878968,-1.459394455
HCE-4,1,Dasatinib,1.384357,-0.017368607
HCE-4,1,Dinaciclib,-3.258944,-2.793666124
HCE-4,1,DMOG,6.363197,5.429393768
HCE-4,1,Docetaxel,-5.263747,-4.736154079
HCE-4,1,Doramapimod,4.176379,4.285441875
HCE-4,1,Doxorubicin,-3.313948,-1.523875356
HCE-4,1,EHT-1864,3.312671,3.339920044
HCE-4,1,Elesclomol,0.179069,-3.619399309
HCE-4,1,Embelin,2.301107,2.11139679
HCE-4,1,Entinostat,2.163028,2.521059752
HCE-4,1,Entospletinib,2.962185,2.93260932
HCE-4,1,Enzastaurin,4.570814,4.15063715
HCE-4,1,Epirubicin,-1.72831,-1.523875356
HCE-4,1,Epothilone B,-6.267511,-6.325510979
HCE-4,1,EPZ004777,5.181553,4.362398148
HCE-4,1,EPZ5676,4.799505,4.874411106
HCE-4,1,Erlotinib,4.462061,3.323386431
HCE-4,1,Etoposide,-0.360141,-0.05593168
HCE-4,1,ETP-45835,4.777624,4.71775198
HCE-4,1,Fedratinib,3.869352,3.729173422
HCE-4,1,FH535,1.242945,1.463667512
HCE-4,1,Flavopiridol,-0.734073,-1.091172457
HCE-4,1,FMK,5.092396,5.234745979
HCE-4,1,Foretinib,1.137464,1.126968861
HCE-4,1,FR-180204,5.289619,5.317659855
HCE-4,1,FTI-277,2.121308,1.677744746
HCE-4,1,FTY-720,2.698645,2.227362394
HCE-4,1,Fulvestrant,2.246943,3.901966572
HCE-4,1,GDC0810,4.595517,4.347909927
HCE-4,1,Gefitinib,2.659118,3.290042162
HCE-4,1,Gemcitabine,-2.916122,-2.170824766
HCE-4,1,GNE-317,2.197124,1.165736556
HCE-4,1,GNF-2,2.454529,2.787846565
HCE-4,1,GSK-J4,3.114575,2.579973698
HCE-4,1,GSK1059615,0.715428,-0.271432459
HCE-4,1,GSK1070916,3.442083,2.964411974
HCE-4,1,GSK1904529A,2.485496,3.525841475
HCE-4,1,GSK2578215A,5.031093,3.998158932
HCE-4,1,GSK2606414,2.855651,3.212450266
HCE-4,1,GSK269962A,2.656522,1.557284236
HCE-4,1,GSK343,2.317682,3.64797616
HCE-4,1,GSK429286A,4.857819,4.566459179
HCE-4,1,GSK591,5.094214,3.775141001
HCE-4,1,GSK650394,1.885286,2.286971331
HCE-4,1,GSK690693,4.576243,4.433812618
HCE-4,1,GW-2580,4.852652,4.750497341
HCE-4,1,GW441756,2.444423,3.184676886
HCE-4,1,GW843682X,-4.110709,-3.565866232
HCE-4,1,HG6-64-1,0.79935,-0.08766859
HCE-4,1,I-BET-151,1.599907,1.435342193
HCE-4,1,I-BET-762,3.278085,3.422213316
HCE-4,1,I-BRD9,4.247347,3.93532896
HCE-4,1,I-CBP112,4.513923,4.027002811
HCE-4,1,Ibrutinib,3.439099,4.245504856
HCE-4,1,IC-87114,4.43802,4.317158222
HCE-4,1,Idelalisib,4.711532,4.711351395
HCE-4,1,Imatinib,2.629159,2.867754698
HCE-4,1,IMD-0354,0.228789,-0.08414308
HCE-4,1,IOX2,1.313473,-0.255784452
HCE-4,1,Ipatasertib,3.309042,3.313878298
HCE-4,1,Irinotecan,1.360932,1.790669084
HCE-4,1,Ispinesib Mesylate,-1.04679,-0.622055948
HCE-4,1,IWP-2,2.705289,2.650489569
HCE-4,1,JNJ38877605,3.71088,3.525771379
HCE-4,1,JNK Inhibitor VIII,4.095613,4.357651234
HCE-4,1,JQ1,2.871098,1.978986621
HCE-4,1,JQ12,1.042473,0.459107637
HCE-4,1,JW-7-24-1,3.245811,3.14160037
HCE-4,1,kb NB 142-70,2.728555,2.617532015
HCE-4,1,KIN001-244,5.289542,4.403338909
HCE-4,1,KIN001-266,5.115218,4.578141212
HCE-4,1,KIN001-270,5.2894,4.728599072
HCE-4,1,Kobe2602,4.830406,4.018968105
HCE-4,1,KU-55933,4.370425,4.255345345
HCE-4,1,KU-60019,3.737508,2.770066977
HCE-4,1,Lapatinib,3.65904,3.302147388
HCE-4,1,LCL161,-3.439989,3.428848505
HCE-4,1,LDN-193189,1.275034,0.556517005
HCE-4,1,Leflunomide,4.89324,4.443915844
HCE-4,1,Lenalidomide,4.139321,4.682318211
HCE-4,1,Lestaurtinib,-0.041334,-0.103853263
HCE-4,1,LFM-A13,4.933172,3.858203411
HCE-4,1,LGK974,3.046688,3.545828104
HCE-4,1,LIMK1 inhibitor BMS4,4.453296,4.410606861
HCE-4,1,Linifanib,2.242858,2.34063673
HCE-4,1,Linsitinib,3.153076,4.073596478
HCE-4,1,LJI308,5.159619,4.390365601
HCE-4,1,Luminespib,-1.433863,-3.044735909
HCE-4,1,LY2109761,4.111721,4.410816669
HCE-4,1,Masitinib,4.794028,4.706600666
HCE-4,1,Methotrexate,-0.502714,0.283260942
HCE-4,1,MG-132,-1.841319,-1.351268053
HCE-4,1,Midostaurin,-1.00163,-1.218582034
HCE-4,1,MIM1,3.33065,3.325471163
HCE-4,1,MIRA-1,4.56038,4.692210197
HCE-4,1,Mitomycin-C,-2.257463,-1.824130774
HCE-4,1,MK-1775,0.784718,0.167341828
HCE-4,1,MK-2206,2.695936,2.869389296
HCE-4,1,MK-8776,3.581736,2.772346258
HCE-4,1,ML323,3.68443,3.772639036
HCE-4,1,MN-64,4.191945,3.777404785
HCE-4,1,Motesanib,3.608916,4.881644726
HCE-4,1,Navitoclax,2.754133,3.299888134
HCE-4,1,NG-25,4.532125,4.099957943
HCE-4,1,Nilotinib,3.422151,3.089390039
HCE-4,1,Niraparib,5.181553,3.60720849
HCE-4,1,NPK76-II-72-1,4.539318,4.107382774
HCE-4,1,NSC-207895,5.168394,4.44604063
HCE-4,1,NSC-87877,2.838301,4.234925747
HCE-4,1,NSC319726,-1.303882,-0.274939656
HCE-4,1,NU7441,3.003782,2.906359673
HCE-4,1,NVP-ADW742,3.299956,3.19464159
HCE-4,1,NVP-BHG712,4.620307,4.700244427
HCE-4,1,NVP-TAE684,0.050424,-0.204593003
HCE-4,1,Obatoclax Mesylate,-1.307341,-0.464671195
HCE-4,1,OF-1,2.414416,3.282258272
HCE-4,1,Olaparib,4.350942,3.743973017
HCE-4,1,Omipalisib,-0.929495,0.156924754
HCE-4,1,OSI-027,2.82806,2.641170502
HCE-4,1,OSI-930,3.974944,4.250688076
HCE-4,1,Osimertinib,2.538812,2.15762496
HCE-4,1,OSU-03012,0.727154,1.13143456
HCE-4,1,OTX015,2.921788,2.420286894
HCE-4,1,Oxaliplatin,2.858013,3.629812717
HCE-4,1,P22077,3.250172,3.979037285
HCE-4,1,Paclitaxel,-4.084088,-3.852202415
HCE-4,1,Palbociclib,2.462888,3.440675974
HCE-4,1,Panobinostat,-2.706678,-1.607373595
HCE-4,1,Pazopanib,1.875777,2.301929712
HCE-4,1,PCI-34051,3.073688,4.000377178
HCE-4,1,PD0325901,2.112,2.944036007
HCE-4,1,PD173074,3.695223,3.03271842
HCE-4,1,Pelitinib,2.671366,3.569386721
HCE-4,1,Pemetrexed,2.288613,3.061005592
HCE-4,1,Pevonedistat,-0.9447,0.115089737
HCE-4,1,PF-00299804,2.251137,1.981578231
HCE-4,1,PF-4708671,3.598143,3.518497944
HCE-4,1,PF-562271,2.75237,1.343753695
HCE-4,1,PFI-1,3.71781,3.638202906
HCE-4,1,PFI-3,3.796984,4.448530674
HCE-4,1,PFI3,4.774065,4.448530674
HCE-4,1,PHA-665752,2.079663,2.298541546
HCE-4,1,PHA-793887,4.802368,4.508054733
HCE-4,1,Phenformin,9.597887,8.317778587
HCE-4,1,PI-103,4.31939,3.661842108
HCE-4,1,Pictilisib,0.618395,1.534513235
HCE-4,1,PIK-93,5.245703,4.532438755
HCE-4,1,Pilaralisib,2.386484,3.201545
HCE-4,1,Piperlongumine,2.519764,1.535681129
HCE-4,1,PLX-4720,3.336576,3.670878887
HCE-4,1,Ponatinib,-0.174706,0.109641977
HCE-4,1,PRIMA-1MET,6.049162,3.949579239
HCE-4,1,PRT062607,3.171309,3.270190477
HCE-4,1,Pyridostatin,4.717534,2.987299681
HCE-4,1,QL-X-138,4.310513,3.20396018
HCE-4,1,QL-XI-92,4.862839,4.522137642
HCE-4,1,QL-XII-47,1.585507,3.051313639
HCE-4,1,QS11,2.403398,2.702053785
HCE-4,1,Quizartinib,2.503673,2.420263052
HCE-4,1,Rapamycin,0.343313,-2.444902182
HCE-4,1,Refametinib,2.860341,3.538834333
HCE-4,1,Ribociclib,3.171208,3.258264303
HCE-4,1,RO-3306,2.603953,2.799345493
HCE-4,1,RU-SKI 43,4.476835,4.411353588
HCE-4,1,Rucaparib,4.488406,3.384102583
HCE-4,1,Ruxolitinib,3.7007,4.042512894
HCE-4,1,RVX-208,3.807085,4.088064671
HCE-4,1,S-Trityl-L-cysteine,-0.585298,0.654205263
HCE-4,1,Sabutoclax,-0.18256,-0.481696486
HCE-4,1,Sapitinib,4.662194,2.925441027
HCE-4,1,Saracatinib,2.079947,1.629514813
HCE-4,1,Savolitinib,2.878661,2.616433859
HCE-4,1,SB216763,4.303542,4.423130989
HCE-4,1,SB505124,4.446228,4.009754658
HCE-4,1,SB52334,5.215623,4.816799641
HCE-4,1,SB590885,3.926648,3.905387878
HCE-4,1,SCH772984,2.971833,4.101521015
HCE-4,1,Selisistat,4.81477,4.923413754
HCE-4,1,Selumetinib,5.059369,5.388161182
HCE-4,1,Sepantronium bromide,-5.777669,-3.467108011
HCE-4,1,Serdemetan,3.299299,3.469558477
HCE-4,1,SGC0946,2.167605,2.11051178
HCE-4,1,Shikonin,-0.435813,-0.722786248
HCE-4,1,SL0101,5.149316,3.901953459
HCE-4,1,SN-38,-4.653235,-3.133583784
