cell_name,drug_name,IC50,test_pred,
786-O,Tamoxifen,1.548701677,4.11532259,
786-O,Mebendazole,-0.333874838,3.467710495,
786-O,aclarubicin,-5.090067517,-1.535937309,
786-O,PENTOSTATIN,6.133099866,4.673434734,
786-O,WORTMANNIN,1.738451745,2.233521938,
786-O,RAPAMYCIN,-3.655993442,-1.556352973,
786-O,Carboplatin,4.657501665,3.638843775,
786-O,Econazole nitrate,2.532843602,2.823588371,
786-O,Valrubicin,-1.47365446,-1.399480581,
786-O,M-AMSA,-1.888862546,1.663283706,
786-O,geldanamycin analog,-1.323986428,-0.619933188,
786-O,Idarubicin,-4.361096166,-1.422991872,
786-O,Epirubicin,-2.291072168,-1.44011116,
786-O,Clotrimazole,2.701699842,1.983528614,
786-O,Oxaliplatin,-0.283985495,3.890059233,
786-O,MITOXANTRONE,-4.605170186,0.43078953,
786-O,TRICIRIBINE PHOSPHATE,3.34565614,4.402363777,
786-O,Cytarabine,-0.932546963,0.2891424,
786-O,ciclosporin,2.544356528,3.206695318,
786-O,Mitoxantrone,-3.837641822,0.43078953,
786-O,AMONAFIDE,0.782878932,2.588271856,
786-O,Fludarabine,3.678379686,4.566571236,
786-O,Batracylin,3.4135824,3.762143135,
786-O,auranofin,-1.082214994,0.048546977,
786-O,Buthionine sulphoximine,3.689253005,3.753648043,
786-O,Tanespimycin,-2.367825004,-0.623406589,
786-O,tic10,0.997786874,-0.140528351,
786-O,TRIMETREXATE GLUCURONATE,-5.152673753,2.622923613,
786-O,8-Chloro-adenosine,0.583321557,4.487011433,
786-O,HYPOTHEMYCIN,1.266421801,0.679467201,
786-O,PYRAZOLOACRIDINE,-2.308341556,3.22641325,
786-O,Imiquimod,3.22361913,2.640193701,
786-O,FENRETINIDE,0.944059888,2.217767477,
786-O,DOLASTATIN 10,-6.823327159,3.800807238,
786-O,Carmustine,3.749120217,3.577612162,
786-O,Mithramycin,9.801337213,-0.186518908,
786-O,Amphotericin B,2.48218673,-1.158102274,
786-O,timazid,5.756462732,3.840041161,
786-O,Zalcitabine,6.907755279,0.145114958,
786-O,Rapamycin,2.394688497,0.827792943,
786-O,Clofarabine,-2.440740199,4.266627789,
786-O,Vinorelbine,-3.891368807,-3.313502073,
786-O,Topotecan,-3.504863452,-0.461461425,
786-O,Gemcitabine,-3.484578774,-1.843191504,
786-O,"Bisacodyl, active ingredient of Viraplex",4.517671952,3.860935211,
786-O,Haloperidol,2.97033477,2.662364483,
786-O,Irinotecan,1.185831323,1.74255383,
786-O,Staurosporine,-5.93606437,-3.868564844,
786-O,PENTAMIDINE ISETHIONATE,2.601921155,4.124674797,
786-O,Pyrazoloacridine,-1.657861267,3.22641325,
786-O,Docetaxel,-4.363398751,-3.857152462,
786-O,Lapachone,0.184206807,2.199106216,
786-O,Depsipeptide,-6.992183399,-5.166770935,
786-O,Lovastatin,2.279559242,3.121206045,
786-O,Simvastatin,2.23350754,3.121206045,
786-O,O-6-Benzylguanine,3.799265403,4.413581371,
786-O,7-Hydroxystaurosporine,-2.433064915,2.561314344,
786-O,7-Hydroxystaurosporine,-3.630409163,-3.897110939,
786-O,Raltitrexed,-4.113952033,0.185193211,
786-O,Perifosine,1.007380978,4.529679775,
786-O,Alvocidib,-3.08776661,-1.321624875,
786-O,Mifepristone,2.71705041,1.9660815,
786-O,Midostaurin,5.902293122,-1.396204829,
786-O,XK-469,4.397937528,3.056446075,
786-O,Triapine,-1.162805472,-3.342678308,
786-O,Artemether,4.605170186,2.408150434,
786-O,Kahalide F,0.552620422,-4.178863525,
786-O,7-Ethyl-10-hydroxycamptothecin,-5.180816459,-3.722674131,
786-O,Okadaic acid,-4.643546604,1.493320465,
786-O,leflunomide,4.006498062,4.872348309,
786-O,PD-98059,4.259782422,4.046772957,
786-O,Bortezomib,-5.537717149,-4.82068491,
786-O,Irofulven,-1.611809565,3.164291143,
786-O,Temsirolimus,-5.480152521,0.94694525,
786-O,Epothilone B,-7.675283643,-5.539024353,
786-O,AMINOFLAVONE,2.652578027,4.24509573,
786-O,norvir,3.200593279,2.244820833,
786-O,BN-2629,-5.019635503,2.267285585,
786-O,LY-294002,2.279559242,2.766871452,
786-O,RH1,-3.838738291,-0.668278575,
786-O,Nitazoxanide,3.292696683,2.831290245,
786-O,XK-469,4.605170186,3.056446075,
786-O,5-Fluoro deoxy uridine 10mer,-5.295945714,3.717379093,
786-O,Denileukin Diftitox Ontak,-5.20384231,2.977822781,
786-O,Pemetrexed,-4.57063141,2.729806423,
786-O,XK-469,4.605170186,3.056446075,
786-O,Seliciclib,3.465390565,3.573127747,
786-O,Vorinostat,1.100123989,1.607909679,
786-O,Estramustine,3.776239553,3.541270018,
786-O,Arsenic trioxide,1.657861267,2.977822781,
786-O,Entinostat,1.208857174,2.315503836,
786-O,Eribulin mesilate,-7.468050985,1.91085434,
786-O,Alvespimycin,-2.828890257,-0.662605584,
786-O,AR-67,-4.605170186,-2.457302332,
786-O,Karenitecin,-4.605170186,-3.638615131,
786-O,PX-316,4.605170186,5.444509029,
786-O,AFP464,2.23350754,3.94192338,
786-O,Artesunate,2.740076261,2.207772017,
786-O,Rebimastat,4.605170186,6.611727715,
786-O,Imexon,4.835428695,2.750982523,
786-O,Gefitinib,2.152917062,3.54230237,
786-O,Erlotinib,2.226599785,3.414079428,
786-O,E-7820,2.041625449,2.265618086,
786-O,Fulvestrant,4.605170186,4.135473251,
786-O,Celecoxib,3.338748385,1.056866169,
786-O,claritin,2.71705041,2.543307066,
786-O,Zoledronate,2.947308919,3.727406979,
786-O,Sonolisib,0.034538776,-1.566308379,
786-O,LMP-400,-0.368413615,-0.601561368,
786-O,LMP776,-4.605170186,-0.577078879,
786-O,Belinostat,-0.069077553,0.632296264,
786-O,Ofloxacin,4.605170186,3.083102942,
786-O,Lapatinib,1.485167385,3.365344763,
786-O,Irinotecan,-4.605170186,1.74255383,
786-O,Lificguat,1.554244938,3.288788557,
786-O,SR16157,0.241771435,2.839603424,
786-O,Dasatinib,-2.647972857,-0.985056698,
786-O,Everolimus,-4.605170186,0.838467479,
786-O,DMAPT,2.026274882,1.379521966,
786-O,Pazopanib,1.784503447,1.756124854,
786-O,Selumetinib,4.106276749,4.30494833,
786-O,BML-277,3.507604625,2.952320576,
786-O,Imatinib,2.778452679,2.411334038,
786-O,Obatoclax,-3.035574681,3.139618874,
786-O,Lapatinib,1.694702628,3.365344763,
786-O,Nelfinavir,1.772990522,1.592755198,
786-O,Nilotinib,0.805904783,3.430424929,
786-O,Olaparib,4.605170186,4.074960232,
786-O,Ixabepilone,-7.276168894,-4.636183262,
786-O,Raloxifene,2.026274882,2.166039944,
786-O,Abiraterone,1.646348341,2.399218559,
786-O,Abiraterone,0.621697975,-1.266523957,
786-O,AT-13387,0.656236752,1.481151223,
786-O,Sunitinib,0.878819977,1.404785872,
786-O,Afatinib,0.828930633,2.244902849,
786-O,Y-27632,4.605170186,2.978045464,
786-O,salinomycin,-0.414465317,-1.691666007,
786-O,Iniparib,4.605170186,1.352169991,
786-O,Pazopanib,1.404576907,1.756124854,
786-O,Veliparib,4.605170186,4.92521286,
786-O,Olaparib,4.605170186,4.074960232,
786-O,Depsipeptide,-4.605170186,-5.166770935,
786-O,pralatrexate,-4.605170186,0.635183275,
786-O,Rigosertib,-1.945684404,2.147237301,
786-O,JNJ-28312141,1.162805472,3.17488265,
786-O,AMG-458,3.09697695,3.236537933,
786-O,PF-03084014 diastereomer 1,2.647972857,3.271460295,
786-O,Amuvatinib,4.605170186,3.705264807,
786-O,CB-64D,1.162805472,2.344294071,
786-O,XL-147,1.289447652,2.584265232,
786-O,Adavosertib,-0.978598665,0.224359661,
786-O,Buparlisib,0.73682723,1.071273923,
786-O,GSK-461364,-3.131515726,-2.690053701,
786-O,PF-562271,1.105240845,0.736363411,
786-O,RAF-265,0.794391857,3.263501406,
786-O,AEG-40730,0.495055795,1.64087379,
786-O,MI-219,2.832179664,2.593197107,
786-O,Astex FGF inhibitor,0.817417708,1.817858934,
786-O,SB-590885,0.874982335,3.527766466,
786-O,XR-11576,-2.429227273,2.500051975,
786-O,XR-5944,-3.407825938,2.733622551,
786-O,Itraconazole,-0.575646273,1.479979038,
786-O,Pemetrexed,-2.797640888,1.966381788,
786-O,Pictilisib,-0.909521112,0.958249629,
786-O,Ispinesib,-4.605170186,-1.591885686,
786-O,Sepantronium bromide,-4.248269497,-3.718910217,
786-O,Bosutinib,0.552620422,2.579491854,
786-O,Masitinib,1.254908876,3.279607058,
786-O,Enzalutamide,3.787752478,1.377260923,
786-O,Cediranib,1.272178264,1.537430406,
786-O,XAV-939,3.569006894,3.10895133,
786-O,Luminespib,0.690775528,-2.48596859,
786-O,Pimasertib,1.819042223,0.679387391,
786-O,GW-5074,2.901257217,3.956313848,
786-O,H-89,1.439115683,3.856006384,
786-O,LY-294002,1.139779621,2.766871452,
786-O,PD-0325901,3.073951099,1.882660985,
786-O,"1,9-Pyrazoleanthrone",2.475278975,2.78651309,
786-O,Foretinib,0.48354287,0.54090929,
786-O,Actinomycin D,-4.605170186,-5.177320004,
786-O,Mitomycin,-0.967085739,-1.422394753,
786-O,Hydrastinine HCl,2.866718441,2.972338676,
786-O,PF-03084014 diastereomer 1,2.601921155,3.271460295,
786-O,Lenvatinib,2.601921155,2.446182489,
786-O,BI-2536,-3.09697695,-1.203942418,
786-O,Pralatrexate,4.605170186,2.949189425,
786-O,Nelarabine,4.605170186,5.578846455,
786-O,ICG-001,1.151292546,2.206398249,
786-O,Entinostat,1.611809565,2.315503836,
786-O,KX-01,-2.705537484,4.068211079,
786-O,Crizotinib,0.752177797,2.35076046,
786-O,IWR-1,4.305834124,3.117743254,
786-O,Quizartinib,1.047676217,1.909825683,
786-O,AZD-1480,3.166054503,0.829130411,
786-O,Linsitinib,2.705537484,4.411793232,
786-O,ZM-336372,3.937420509,0.949482322,
786-O,MK-2206,-0.207232658,2.872226954,
786-O,OSU-03012,0.37992654,1.188907743,
786-O,Intedanib,0.583321557,2.655466557,
786-O,Quercetin,3.039412323,4.10127449,
786-O,sr 13654,1.502436773,3.023723602,
786-O,Obatoclax,-2.935795994,3.139618874,
786-O,COLCHICINE,-4.029523913,0.447346091,
786-O,DAUNORUBICIN,-2.682511633,-1.44011116,
786-O,DIGOXIN,-2.809153813,2.789052248,
786-O,(-)-Nutlin-3,2.878231366,2.463014364,
786-O,1st Precursor Intermediate to TDP 665759,4.605170186,2.874512672,
786-O,Lificguat,3.177567428,3.288788557,
786-O,ETHINYL ESTRADIOL,1.634835416,3.637419939,
786-O,Fluorouracil,3.569006894,3.865608931,
786-O,badil,-1.680887118,3.015802622,
786-O,Nitrogen mustard,-0.069077553,3.525920868,
786-O,Melphalan,2.601921155,2.188440323,
786-O,AZD-7762,-1.79025991,0.011433624,
786-O,Volasertib,-2.624947006,-1.122557759,
786-O,malacid,1.772990522,3.08801055,
786-O,Cpd-401,4.605170186,3.191992044,
786-O,6-Thioguanine,-1.093727919,4.722752094,
786-O,TYROTHRICIN,-2.072326584,2.652060032,
786-O,Vinblastine,-5.295945714,-3.699492693,
786-O,pentamidine isethionate,2.4867919,4.124674797,
786-O,melbex,-1.128266696,0.956324875,
786-O,OUABAIN,-4.018010987,3.156073332,
786-O,Cabozantinib,1.899632702,1.500274777,
786-O,Salinomycin,0.230258509,-1.691666007,
786-O,PLX-4720,2.371662646,2.618797541,
786-O,Neratinib,-0.310848988,1.915493965,
786-O,Deforolimius,2.187455838,-2.060409307,
786-O,Axitinib,2.935795994,3.02113986,
786-O,Intedanib,0.391439466,2.655466557,
786-O,Barasertib,4.605170186,1.927280545,
786-O,Etoposide,-0.023025851,0.100349911,
786-O,Mebendazole,-0.518081646,3.467710495,
786-O,Econazole Nitrate,0.633210901,2.823588371,
786-O,Sapitinib,1.657861267,3.424970388,
786-O,Tivozanib,1.237639487,0.127494693,
786-O,MONENSIN SODIUM,-3.108489876,2.844744444,
786-O,Azacitidine,-0.368413615,2.179086208,
786-O,Floxuridine,-4.08708854,3.765547991,
786-O,Tivantinib,-0.212989121,3.293998003,
786-O,BMS-754807,1.024650366,2.119004488,
786-O,tepotinib,0.683100244,3.209452868,
786-O,ENMD-2076,0.299336062,1.326914907,
786-O,Trametinib,1.381551056,0.672890425,
786-O,Palbociclib,1.611809565,3.030952215,
786-O,RO-5126766,4.455502155,3.890442371,
786-O,Pracinostat,-0.782878932,3.947969198,
786-O,SNS-314,2.026274882,1.770711899,
786-O,Amonafide,1.358525205,2.588271856,
786-O,Carfilzomib,-3.47690349,1.131810904,
786-O,Homoharringtonine,-3.419338863,-2.174726486,
786-O,Ixazomib citrate,-2.71705041,-2.261178732,
786-O,Teniposide,-1.646348341,0.133144021,
786-O,PKI-587,-1.439115683,1.63872695,
786-O,LY-2606368,-4.973583801,1.525302529,
786-O,M-AMSA,-1.98022318,2.929862261,
786-O,Ezatiostat,2.855205515,1.087044239,
786-O,BX-912,2.325610944,2.093791485,
786-O,HPI-1,2.440740199,-0.025918163,
786-O,Ponatinib,-0.844281201,-0.831346869,
786-O,Lexibulin,-3.09697695,1.846589327,
786-O,Indibulin,-2.935795994,3.875202894,
786-O,SGX-523,4.605170186,3.666986227,
786-O,Bleomycin,0.909521112,0.555420458,
786-O,Paclitaxel,-3.073951099,-3.789674282,
786-O,Lovastatin,2.555869453,3.121206045,
786-O,Rapamycin,1.703912969,-1.556352973,
786-O,Teniposide,-3.396313012,0.133144021,
786-O,ANCITABINE HYDROCHLORIDE,0.898008186,1.770156503,
786-O,ARTENIMOL,0.472029944,2.552484035,
786-O,Simvastatin,1.139779621,3.121206045,
786-O,Varbulin,-4.605170186,3.298536301,
786-O,Belinostat,0.773668591,0.632296264,
786-O,AZD-8055,-3.177567428,-0.210127652,
786-O,Saracatinib,1.502436773,0.622493565,
786-O,ABT-737,1.277934727,3.16332984,
786-O,Fluvastatin,1.554244938,3.418586969,
786-O,ENMD-2076 Precursor,1.151292546,2.677690029,
786-O,JNJ-38877605,3.83380418,3.416836023,
786-O,Triapine,-1.105240845,-3.342678308,
786-O,Doxorubicin,-3.430851789,-1.44011116,
786-O,Vincristine,-4.259782422,-3.78258872,
786-O,Pipamperone,1.531219087,1.926480651,
786-O,Epirubicin,-2.095352435,-1.44011116,
786-O,Idelalisib,1.588783714,3.6295259,
786-O,IDEBENONE,2.256533391,2.306485415,
786-O,Topotecan,-4.409450453,-0.461461425,
786-O,ARSENIC TRIOXIDE,-0.633210901,2.803888559,
786-O,CYC-116,0.345387764,3.587208509,
786-O,6-Mercaptopurine,-0.345387764,4.658352375,
786-O,Quisinostat,-3.177567428,2.691302061,
786-O,6-(4-pyrimidinyl)-1H-indazole derivative,1.197344248,2.876716375,
786-O,Navitoclax,0.633210901,3.13156867,
786-O,OSI-027,-1.059189143,1.627975583,
786-O,Dovitinib,0.184206807,2.990752935,
786-O,KW-2449,1.888119776,3.07675004,
786-O,PI-103,-1.462141534,0.846550107,
786-O,Alisertib,1.485167385,0.757572532,
786-O,artesunate,0.103616329,2.207772017,
786-O,Docetaxel,-5.20384231,-3.857152462,
786-O,Vorinostat,1.036163292,1.607909679,
786-O,Gefitinib,1.082214994,3.54230237,
786-O,Clofarabine,-2.383175571,4.266627789,
786-O,Dasatinib,-2.878231366,-0.985056698,
786-O,Irinotecan,-1.093727919,1.74255383,
786-O,4SC-202,-0.771366006,2.07223177,
786-O,nitazoxanide,0.851956484,2.831290245,
786-O,VINORELBINE,-2.763102112,-3.311996698,
786-O,Mocetinostat,0.759853081,2.811054945,
786-O,AT-9283,0.057564627,3.171014547,
786-O,(+)-JQ1,-0.172693882,1.588615298,
786-O,Fenretinide,0.541107497,2.217767477,
786-O,Daporinad,4.605170186,-2.904325724,
786-O,Copanlisib,-2.394688497,2.964470625,
786-O,Tipifarnib,1.11675377,0.365627259,
786-O,PF-04691502,-2.670998708,3.317695856,
786-O,Voreloxin,-0.851956484,2.674254894,
786-O,BMS-690514,0.080590478,2.809593439,
786-O,Vandetanib,0.99011159,3.137196779,
786-O,Tandutinib,2.901257217,3.504845381,
786-O,Motesanib,3.776239553,5.15891552,
786-O,Cabozantinib,1.703912969,2.307862043,
786-O,VE-821,1.24339595,3.397968531,
786-O,Rabusertib,-1.047676217,3.351758242,
786-O,Teglarinad,2.325610944,2.116181135,
786-O,Panobinostat,-3.592032745,-2.825217724,
786-O,brigatinib,0.99011159,1.748987317,
786-O,Pevonedistat,-0.402952391,0.69197017,
786-O,Silmitasertib,1.300960578,1.672421932,
786-O,CUDC-305,1.358525205,3.563072681,
786-O,TAK-733,1.531219087,-0.427482128,
786-O,Avagacestat,4.605170186,4.352366924,
786-O,Sonidegib,1.059189143,2.870796204,
786-O,Sonidegib,1.749964671,2.870796204,
786-O,CCT-128930,0.898008186,2.337222815,
786-O,By-Product of CUDC-305,3.039412323,2.718697548,
786-O,Vemurafenib,1.419927474,2.91031456,
786-O,SCH-1473759,-3.050925248,2.617237806,
786-O,MK-8033,3.269670832,2.714338779,
786-O,Vertex ATR inhibitor Cpd 45,0.713801379,3.510482073,
786-O,TAK-960 analog,-1.174318397,2.98043704,
786-O,BMS-536924,0.195719733,1.617825389,
786-O,ITRI-260,2.095352435,1.586494327,
786-O,Ibrutinib,0.614022691,4.571577549,
786-O,KHK-Indazole,2.532843602,2.808887243,
786-O,TAK-901,0.276310211,1.948971629,
786-O,ONX-0914,-1.013137441,1.554469228,
786-O,ST-3595,-0.011512925,-1.151971102,
786-O,Des-fluoro-TAK-960,-2.394688497,3.047350645,
786-O,CH-5132799,-0.575646273,3.505424261,
786-O,TAK Plk inhibitor,-1.819042223,2.644987822,
786-O,CT-32228,-2.809153813,3.353454351,
786-O,RO-4987655,2.751589186,1.463962913,
786-O,SB-1317,-3.453877639,2.31016326,
786-O,MK-0752,4.605170186,3.478817225,
786-O,PF-477736,-1.358525205,3.155441999,
786-O,Pluripotin,-2.809153813,1.885873914,
786-O,Crenolanib,0.587159199,3.392881632,
786-O,JZL-195,4.605170186,2.357607603,
786-O,EMD-534085,1.692400043,1.990094662,
786-O,AT-13387,-0.449004093,1.481151223,
786-O,LOR-253,-1.416089832,3.139097452,
786-O,AS-703569,-2.682511633,2.201007128,
786-O,PF-04217903,4.605170186,2.397848368,
786-O,Dinaciclib,-4.593657261,-2.676021814,
786-O,BP-1-102,2.578895304,2.827979565,
786-O,AZD-5363,-1.036163292,2.896355867,
786-O,Alectinib,0.621697975,3.508920431,
786-O,TAE-684,0.103616329,-0.176925093,
786-O,ARRY-162,4.605170186,4.253765106,
786-O,(+)-JQ1,-0.50656872,1.588615298,
786-O,BMS-777607,2.935795994,2.936666727,
786-O,Apitolisib,-1.830555149,-0.845648289,
786-O,GSK-2126458,-4.605170186,-2.922158957,
786-O,Dabrafenib,3.879855882,3.566072702,
786-O,BMS-599626,1.807529298,2.148576975,
786-O,Abexinostat,-0.909521112,2.866640806,
786-O,6-Bromoindirubin-3'-Acetoxime,0.874982335,3.457191706,
786-O,AZD-4547,1.819042223,2.736204863,
786-O,delanzomib,-4.27705181,0.489528686,
786-O,Brivanib,2.440740199,1.203913569,
786-O,NVP-BGJ398,0.633210901,2.096016169,
786-O,Pp-242,-1.231883025,3.246287584,
786-O,ZSTK-474,-1.508193236,1.441812992,
786-O,UNC-0638,2.348636795,4.08815527,
786-O,MK-2461,1.98022318,3.229129076,
786-O,ARRY-380,3.004873546,2.955027103,
786-O,10058-F4,2.993360621,2.617527723,
786-O,BAL-101553,-2.889744292,2.954569101,
786-O,INK-128,-3.626571521,3.307993889,
786-O,SCH-900776,0.667749677,2.826146126,
786-O,SM-406,4.605170186,1.114379168,
786-O,ONX-0801,1.565757863,2.125219584,
786-O,ARQ-680,3.004873546,3.62569499,
786-O,Gandotinib,0.518081646,2.40526557,
786-O,Alectinib,0.621697975,3.508920431,
786-O,Varlitinib,1.968710255,2.989343882,
786-O,MPC-3100,1.588783714,3.358798742,
786-O,BMN-673,4.605170186,1.933247209,
786-O,Ganetespib,-2.682511633,2.843976259,
786-O,YK-4-279,1.865093925,1.544212937,
786-O,S-49076,4.167679018,1.941324949,
786-O,Bosutinib,0.73682723,2.608740807,
786-O,PD 184352,0.99011159,2.015896082,
786-O,Gemcitabine elaidate,-4.271295348,-1.893505454,
786-O,AZD-3514,3.891368807,2.970713615,
786-O,ASP-3026,2.141404136,0.018128552,
786-O,Refametinib,2.97033477,2.815755606,
786-O,Dacomitinib,0.402952391,1.228601098,
786-O,ABT-348,-0.794391857,1.71163249,
786-O,GDC-0152,4.133140242,3.529346228,
786-O,AEE-788,0.702288453,1.935443521,
786-O,BYL-719,2.406201422,3.584075928,
786-O,Teriflunomide,3.545981043,4.001878262,
786-O,CT-GSK183,2.429227273,2.1981709,
786-O,ABT-199,1.266421801,3.197856188,
786-O,PHA-665752,0.713801379,2.207941771,
786-O,LY-2228820,2.417714348,3.999370575,
786-O,BMS-911543,4.605170186,2.057179213,
786-O,CEP-14083,0.621697975,2.849374533,
786-O,MLN-2480,3.592032745,2.542549849,
786-O,Ixazomib,-3.58051982,-2.80593133,
786-O,PD 173074,1.692400043,2.847907782,
786-O,GSK-690693,-0.782878932,3.894846678,
786-O,BAY 61-3606,0.874982335,1.232245207,
786-O,AEW-541,0.644723826,2.785289526,
786-O,BMS-387032,-0.748340155,2.691727877,
786-O,Saridegib,2.187455838,3.60386157,
786-O,Enzastaurin,2.129891211,3.292508841,
786-O,BMN-673,4.605170186,1.933247209,
786-O,Birinapant,4.605170186,4.124525547,
786-O,AZD-2014,-1.381551056,0.863501132,
786-O,MLN-0905,-2.498304826,3.42334795,
786-O,Momelotinib,0.230258509,2.23279953,
786-O,I-BET-151,1.623322491,0.765866816,
786-O,Fedratinib,0.207232658,1.817333102,
786-O,VX-944,-1.669374192,2.988894224,
786-O,Pelitrexol,-4.605170186,1.778170586,
786-O,ADW-742,0.529594571,2.785289526,
786-O,BPR1J-097,1.565757863,2.83399415,
786-O,Ipatasertib,-0.598672124,3.70678854,
786-O,GSK-1904529A,4.605170186,4.140473843,
786-O,Rocilinostat,1.842068074,1.248910427,
786-O,R-1530,0.782878932,2.139908075,
786-O,EMD-1204831,4.605170186,3.146142244,
786-O,Cobimetinib (isomer 1),1.749964671,0.834219754,
786-O,Cobimetinib (isomer 1),2.049300733,0.834219754,
786-O,enantiomer of PF-4176340,-0.73682723,2.62500453,
786-O,TAK-960,-3.131515726,2.932094812,
786-O,LY-2835219,1.554244938,2.029890776,
786-O,SAR-245409,3.200593279,2.802661896,
786-O,SAR-402674,-4.605170186,2.393580675,
786-O,GSK-2636771,3.212106205,2.579619408,
786-O,SNX-5422,2.786127963,-0.435808301,
786-O,IDH1-Comp 301,3.453877639,4.248186588,
786-O,CEP-9722,2.71705041,2.83860755,
786-O,RG-7112,1.393063981,2.121421099,
786-O,GDC-0349,-0.955572814,2.921789408,
